year,make,model,trim,state,mileage,color,interior,sellingprice
2008,Land Rover,Range Rover,Supercharged,ca,98765,white,white,21500
2011,Land Rover,Range Rover,Supercharged,ga,45629,black,tan,43400
2011,Land Rover,Range Rover,Supercharged,ga,48591,white,gray,46400
2012,Land Rover,Range Rover,HSE,ga,51507,black,tan,40000
2012,Land Rover,Range Rover,HSE,wi,61226,black,black,34000
2011,Land Rover,Range Rover,Supercharged,ca,73054,black,beige,33750
2010,Land Rover,Range Rover,HSE,fl,81285,black,beige,30200
2010,Land Rover,Range Rover,Supercharged,pa,59760,black,black,36500
2008,Land Rover,Range Rover,HSE,pa,89935,white,beige,18900
2012,Land Rover,Range Rover,HSE,pa,15431,black,tan,50800
2010,Land Rover,Range Rover,HSE,pa,52131,gray,brown,28400
2014,Land Rover,Range Rover,Ebony Edition,pa,16002,black,black,99000
2012,Land Rover,Range Rover,HSE,pa,33456,white,black,48000
2013,Land Rover,Range Rover,HSE,pa,47195,black,beige,75250
2014,Land Rover,Range Rover,Ebony Edition,ca,9925,white,black,60000
2014,Land Rover,Range Rover,Supercharged,ca,17983,black,black,76500
2014,Land Rover,Range Rover,Supercharged,ca,7434,black,gray,92500
2013,Land Rover,Range Rover,HSE,ca,22316,black,black,65000
2011,Land Rover,Range Rover,HSE,nc,106254,black,tan,30000
2010,Land Rover,Range Rover,HSE,fl,46348,burgundy,tan,31200
2013,Land Rover,Range Rover,Supercharged,ca,23252,brown,beige,83500
2011,Land Rover,Range Rover,HSE,ca,98772,white,beige,30500
2011,Land Rover,Range Rover,HSE,fl,58623,black,gray,35800
2010,Land Rover,Range Rover,HSE,ca,69471,white,brown,29250
2008,Land Rover,Range Rover,Supercharged,ca,84226,white,beige,23250
2014,Land Rover,Range Rover,Supercharged,fl,29530,silver,black,83000
2011,Land Rover,Range Rover,Supercharged,ny,61464,white,beige,39400
2010,Land Rover,Range Rover,HSE,la,39802,white,white,34100
2013,Land Rover,Range Rover,HSE,ma,56577,black,gray,74200
2011,Land Rover,Range Rover,HSE,la,81127,white,tan,30400
2010,Land Rover,Range Rover,HSE,ca,27411,green,white,32500
2011,Land Rover,Range Rover,HSE,fl,74560,green,beige,29600
2009,Land Rover,Range Rover,Supercharged,ca,77405,white,beige,27000
2012,Land Rover,Range Rover,HSE,pa,53077,white,tan,41750
2010,Land Rover,Range Rover,HSE,pa,58937,black,black,31000
2010,Land Rover,Range Rover,HSE,mo,45154,silver,black,31800
2008,Land Rover,Range Rover,HSE,mi,114721,blue,tan,14500
2012,Land Rover,Range Rover,HSE,ca,39504,white,black,44500
2010,Land Rover,Range Rover,HSE,fl,81010,silver,black,23000
2008,Land Rover,Range Rover,HSE,ca,92585,black,black,16500
2011,Land Rover,Range Rover,HSE,fl,59007,black,black,33600
2010,Land Rover,Range Rover,Supercharged,pa,63736,black,black,35000
2010,Land Rover,Range Rover,HSE,pa,54642,black,black,32200
2010,Land Rover,Range Rover,HSE,pa,52558,silver,black,29700
2013,Land Rover,Range Rover,HSE,pa,22833,black,gray,78000
2013,Land Rover,Range Rover,Supercharged,pa,35259,beige,brown,83000
2010,Land Rover,Range Rover,HSE,fl,72077,gray,black,24400
2011,Land Rover,Range Rover,Supercharged,pa,106483,black,black,32750
2010,Land Rover,Range Rover,HSE,pa,67709,beige,brown,28000
2012,Land Rover,Range Rover,HSE,pa,49820,black,black,40000
2011,Land Rover,Range Rover,HSE,fl,63696,blue,beige,30000
2011,Land Rover,Range Rover,Supercharged,pa,64738,white,tan,38000
2011,Land Rover,Range Rover,Supercharged,pa,49246,gray,black,39750
2011,Land Rover,Range Rover,HSE,pa,43643,black,black,39250
2011,Land Rover,Range Rover,HSE,oh,42406,silver,beige,34000
2010,Land Rover,Range Rover,HSE,oh,182536,black,tan,29200
2010,Land Rover,Range Rover,HSE,fl,92240,black,black,28200
2008,Land Rover,Range Rover,HSE,pa,78360,black,tan,19500
2008,Land Rover,Range Rover,Supercharged,pa,59478,blue,beige,23750
2014,Land Rover,Range Rover,Supercharged LWB,pa,4986,black,black,101000
2014,Land Rover,Range Rover,Supercharged,pa,18553,gray,black,84750
2013,Land Rover,Range Rover,Supercharged,fl,19346,black,beige,81500
2012,Land Rover,Range Rover,HSE,fl,42255,black,tan,43200
2011,Land Rover,Range Rover,HSE,fl,72999,black,beige,31200
2002,Land Rover,Range Rover,4.6 HSE,co,151341,white,tan,3000
2014,Land Rover,Range Rover,HSE,oh,29657,black,black,79250
2011,Land Rover,Range Rover,HSE,ca,38905,gray,black,39750
2008,Land Rover,Range Rover,Supercharged,ca,67892,white,black,18500
2010,Land Rover,Range Rover,Supercharged,ca,48214,gray,tan,38500
2008,Land Rover,Range Rover,HSE,ca,94679,black,beige,17500
2014,Land Rover,Range Rover,Supercharged,ca,12258,white,black,94500
2008,Land Rover,Range Rover,Supercharged,ca,116555,black,black,19750
2012,Land Rover,Range Rover,HSE,fl,17668,black,black,50500
2013,Land Rover,Range Rover,Supercharged,fl,31044,silver,black,83200
2011,Land Rover,Range Rover,HSE,il,63374,black,black,32000
2012,Land Rover,Range Rover,HSE,fl,41447,brown,beige,41400
2010,Land Rover,Range Rover,HSE,fl,82735,white,white,28800
2010,Land Rover,Range Rover,HSE,pa,82072,black,beige,29750
